Year,Car,Sale Type,Fuel Type,Transmission,Unit Price (USD),Units Sold,Revenue (USD),Budget
01-01-2020,Car2,Direct Sale,Diesel,Automatic,20184.96,1,20184.96,13120.224
01-01-2020,Car1,Pre Book,Diesel,Manual,48914.93,5,244574.65,33262.1524
01-01-2020,Car3,Pre Book,Diesel,Manual,31080.49,5,155402.45,20513.1234
01-01-2020,Car1,Third Party,Diesel,Automatic,39325.03,3,117975.09,27920.7713
01-01-2020,Car1,Direct Sale,Diesel,Manual,40989.31,4,163957.24,26233.1584
01-01-2020,Car1,Pre Book,Petrol,Manual,47890.39,2,95780.78,31607.6574
02-01-2020,Car1,Third Party,Diesel,Automatic,83388.93,2,166777.86,56704.4724
02-01-2020,Car3,Direct Sale,Diesel,Automatic,74735.38,2,149470.76,45588.5818
02-01-2020,Car1,Third Party,Diesel,Automatic,80306.51,1,80306.51,50593.1013
02-01-2020,Car1,Pre Book,Diesel,Automatic,47936.24,1,47936.24,35472.8176
02-01-2020,Car2,Direct Sale,Diesel,Manual,41161.54,3,123484.62,29636.3088
02-01-2020,Car1,Pre Book,Petrol,Automatic,38639.21,3,115917.63,23569.9181
02-01-2020,Car3,Pre Book,Petrol,Automatic,22709.43,4,90837.72,14079.8466
03-01-2020,Car1,Third Party,Diesel,Automatic,28287.82,5,141439.1,18952.8394
03-01-2020,Car1,Pre Book,Petrol,Automatic,84983.5,5,424917.5,50990.1
03-01-2020,Car3,Pre Book,Petrol,Automatic,35678.99,4,142715.96,21407.394
04-01-2020,Car1,Direct Sale,Diesel,Manual,57093.26,3,171279.78,41107.1472
04-01-2020,Car2,Pre Book,Diesel,Automatic,29318.33,1,29318.33,21695.5642
04-01-2020,Car1,Direct Sale,Diesel,Manual,32807.51,4,131230.04,22309.1068
04-01-2020,Car1,Third Party,Diesel,Automatic,54908.51,5,274542.55,38985.0421
04-01-2020,Car2,Pre Book,Diesel,Automatic,80041.12,3,240123.36,56829.1952
04-01-2020,Car2,Third Party,Diesel,Automatic,47896.16,5,239480.8,28737.696
04-01-2020,Car3,Pre Book,Diesel,Manual,86693.91,5,433469.55,61552.6761
04-01-2020,Car2,Direct Sale,Diesel,Manual,75494.2,3,226482.6,46051.462
04-01-2020,Car3,Direct Sale,Petrol,Automatic,35174.51,3,105523.53,21456.4511
04-01-2020,Car3,Third Party,Petrol,Manual,65404.2,1,65404.2,43820.814
04-01-2020,Car2,Pre Book,Petrol,Automatic,39649.84,3,118949.52,23789.904
04-01-2020,Car1,Pre Book,Petrol,Manual,31203.85,1,31203.85,22154.7335
04-01-2020,Car2,Direct Sale,Petrol,Automatic,83209.1,3,249627.3,51589.642
05-01-2020,Car1,Pre Book,Diesel,Manual,52439.5,4,209758,34610.07
05-01-2020,Car1,Direct Sale,Diesel,Automatic,18156.99,1,18156.99,11620.4736
05-01-2020,Car1,Pre Book,Diesel,Automatic,33311.05,2,66622.1,21319.072
05-01-2020,Car1,Third Party,Diesel,Manual,39166.16,4,156664.64,28199.6352
05-01-2020,Car1,Third Party,Diesel,Manual,55766.46,3,167299.38,41267.1804
05-01-2020,Car2,Third Party,Petrol,Manual,47518.71,3,142556.13,33263.097
06-01-2020,Car2,Pre Book,Diesel,Automatic,27414.04,4,109656.16,18093.2664
06-01-2020,Car1,Pre Book,Diesel,Automatic,58238.74,2,116477.48,39602.3432
06-01-2020,Car2,Pre Book,Diesel,Manual,38814.86,3,116444.58,25229.659
06-01-2020,Car2,Direct Sale,Diesel,Automatic,71070.7,1,71070.7,48328.076
06-01-2020,Car1,Pre Book,Diesel,Manual,75398.62,3,226195.86,48255.1168
06-01-2020,Car2,Direct Sale,Petrol,Automatic,46608.3,2,93216.6,31227.561
06-01-2020,Car3,Direct Sale,Petrol,Manual,48790.81,1,48790.81,29762.3941
06-01-2020,Car1,Third Party,Petrol,Manual,77776,1,77776,53665.44
07-01-2020,Car3,Third Party,Diesel,Manual,76639.5,2,153279,56713.23
07-01-2020,Car2,Third Party,Diesel,Manual,18238.03,2,36476.06,12949.0013
07-01-2020,Car1,Direct Sale,Petrol,Manual,51329.88,3,153989.64,35417.6172
07-01-2020,Car1,Pre Book,Petrol,Automatic,20997.4,4,83989.6,14068.258
08-01-2020,Car1,Direct Sale,Diesel,Manual,24713.62,1,24713.62,16558.1254
08-01-2020,Car2,Pre Book,Diesel,Manual,19864.02,2,39728.04,12911.613
08-01-2020,Car2,Direct Sale,Petrol,Manual,32396.03,5,161980.15,20733.4592
08-01-2020,Car3,Third Party,Petrol,Automatic,34239.75,3,102719.25,20886.2475
09-01-2020,Car2,Third Party,Diesel,Automatic,35712.72,1,35712.72,23570.3952
09-01-2020,Car1,Pre Book,Diesel,Automatic,64889.79,2,129779.58,47369.5467
09-01-2020,Car3,Direct Sale,Diesel,Manual,71950.82,1,71950.82,48926.5576
09-01-2020,Car2,Pre Book,Diesel,Automatic,15567.22,5,77836.1,10585.7096
09-01-2020,Car1,Pre Book,Diesel,Automatic,17521.02,4,70084.08,11739.0834
09-01-2020,Car2,Direct Sale,Petrol,Automatic,31999.23,1,31999.23,20799.4995
09-01-2020,Car3,Pre Book,Petrol,Automatic,20051.3,2,40102.6,12231.293
10-01-2020,Car3,Third Party,Diesel,Manual,85539.24,2,171078.48,60732.8604
10-01-2020,Car3,Third Party,Diesel,Automatic,76403.03,4,305612.12,54246.1513
10-01-2020,Car2,Direct Sale,Petrol,Automatic,74263.17,3,222789.51,47528.4288
11-01-2020,Car1,Third Party,Diesel,Automatic,83039.99,3,249119.97,62279.9925
11-01-2020,Car1,Third Party,Petrol,Automatic,48758.74,2,97517.48,29742.8314
12-01-2020,Car2,Third Party,Diesel,Automatic,52081.52,2,104163.04,34894.6184
12-01-2020,Car2,Pre Book,Petrol,Manual,31383.03,4,125532.12,23537.2725
12-01-2020,Car1,Direct Sale,Petrol,Automatic,16368.19,5,81840.95,10475.6416
12-01-2020,Car1,Third Party,Petrol,Manual,21877.45,4,87509.8,14001.568
12-01-2020,Car1,Third Party,Petrol,Manual,66514.57,3,199543.71,40573.8877
13-01-2020,Car3,Third Party,Diesel,Manual,25668.7,1,25668.7,18994.838
13-01-2020,Car2,Pre Book,Diesel,Manual,18255.06,5,91275.3,13143.6432
14-01-2020,Car1,Third Party,Diesel,Manual,20830.1,1,20830.1,14164.468
